City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
638,Balancan,MX,73.4,scattered clouds,17.8,-91.5333,Hotel Balam Ku
639,Charters Towers,AU,72.09,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
644,Mwinilunga,ZM,59.59,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
645,Semirom,IR,34.72,clear sky,31.4167,51.5667,سوئیت سام آرام Motel
646,Bose,IT,44.01,broken clouds,45.4612,8.0137,Locanda Borgo Antico
647,Antofagasta,CL,73.0,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
650,Rochester,US,34.0,broken clouds,43.1548,-77.6156,Hyatt Regency Rochester
651,Florence,IT,55.4,broken clouds,43.7667,11.25,Italiana Hotels Florence
652,Dalby,AU,62.01,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
657,Vila Do Maio,CV,71.6,clear sky,15.1333,-23.2167,Residence 'I Delfini'
659,Maine-Soroa,NE,73.92,clear sky,13.2114,12.0241,
662,Gondanglegi,ID,74.07,broken clouds,-7.7479,112.0132,Gg. Munasir Homestay
664,Carlisle,US,37.0,overcast clouds,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
